TrackID,Name,Inizio,Bpm,Metro,Battito
253176373,The Fountain,0.011,132.0,4/4,1
69799612,Water,0.053,131.84,4/4,1
69799612,Water,75.143,131.84,4/4,2
69799612,Water,150.233,131.84,4/4,3
69799612,Water,216.221,131.84,4/4,4
37291327,8391664_Good Life_(Original Mix),0.448,121.32,4/4,4
218628265,comebackhome-tinlicker,0.302,123.0,4/4,1
181763797,fatherocean-bbohmer,0.004,122.0,4/4,1
230938109,healingforest-tinlicker,0.293,124.0,4/4,1
63667234,justtohearyousay-tinlicker,0.265,124.0,4/4,1
40875018,This Is Not Our Universe-014-Tinlicker-Bird Feeder (Extended Mix),0.122,123.0,4/4,1
127990787,Breezeblocks (Tinlicker Remix)-01-002-alt-J-Breezeblocks (Tinlicker Extended Mix),0.081,123.0,4/4,1
81436612,lost-tinlicker,0.116,124.0,4/4,1
108662742,purpleline-bbohmer,0.115,122.0,4/4,1
34136296,technicolor-mayro,0.0,122.0,4/4,1
146873759,beyondbeliefs-bbohmer,0.177,124.0,4/4,1
92076718,lightbeam-tinlicker,0.27,124.0,4/4,1
195698596,With Every Heartbeat (Tinlicker Remix) V3,0.272,123.0,4/4,1
190865188,Friend,0.04,129.45,4/4,1
190865188,Friend,0.504,129.45,4/4,2
190865188,Friend,167.826,129.45,4/4,3
60050068,Need to Feel Loved (Extended Mix),0.002,128.0,4/4,1
206869259,hideyou-tinlicker,0.065,124.0,4/4,1
244238502,Motorcycle - As The Rush Comes (Tinlicker Bootleg),0.084,124.0,4/4,2
244238502,Motorcycle - As The Rush Comes (Tinlicker Bootleg),127.324,124.0,4/4,1
244238502,Motorcycle - As The Rush Comes (Tinlicker Bootleg),129.255,124.0,4/4,1
244238502,Motorcycle - As The Rush Comes (Tinlicker Bootleg),133.091,124.0,4/4,1
164135594,Soon You'll Be Gone-01-002-Tinlicker feat Thomas Oliver-Soon You'll Be Gone,0.012,123.0,4/4,4
56236539,Sleepwalker,0.025,124.63,4/4,1
56236539,Sleepwalker,35.168,124.63,4/4,2
56236539,Sleepwalker,66.941,124.63,4/4,4
56236539,Sleepwalker,98.714,124.63,4/4,2
56236539,Sleepwalker,130.487,124.63,4/4,4
56236539,Sleepwalker,158.89,124.63,4/4,3
56236539,Sleepwalker,194.033,124.63,4/4,4
56236539,Sleepwalker,224.843,124.63,4/4,4
238710888,beherenow-tinlicker,0.331,122.0,4/4,1
120956765,strangers-bbohmer,0.132,123.0,4/4,1
173843049,shouldhaveseenitcoming-yotto,0.478,123.0,4/4,2
132241150,returntooz-artbat,0.001,124.0,4/4,1
238493790,needyou-tinlicker,0.077,123.0,4/4,1
206525099,Love & Happiness (Yemaya Y OchÃ¹n) [feat. IndiaTito & India] (Original Mix),0.057,124.0,4/4,2
233025259,lanarka-sleger,0.0,122.0,4/4,1
37650739,In Another Lifetime-012-Tinlicker feat Hero Baldwin-Rebirth,0.245,123.96,4/4,1
37650739,In Another Lifetime-012-Tinlicker feat Hero Baldwin-Rebirth,4.118,123.96,4/4,1
37650739,In Another Lifetime-012-Tinlicker feat Hero Baldwin-Rebirth,4.601,123.96,4/4,2
37650739,In Another Lifetime-012-Tinlicker feat Hero Baldwin-Rebirth,5.086,123.96,4/4,3
37650739,In Another Lifetime-012-Tinlicker feat Hero Baldwin-Rebirth,25.9,123.96,4/4,2
37650739,In Another Lifetime-012-Tinlicker feat Hero Baldwin-Rebirth,47.198,123.96,4/4,2
37650739,In Another Lifetime-012-Tinlicker feat Hero Baldwin-Rebirth,47.681,123.96,4/4,3
37650739,In Another Lifetime-012-Tinlicker feat Hero Baldwin-Rebirth,48.166,123.96,4/4,4
37650739,In Another Lifetime-012-Tinlicker feat Hero Baldwin-Rebirth,68.98,123.96,4/4,3
37650739,In Another Lifetime-012-Tinlicker feat Hero Baldwin-Rebirth,90.278,123.96,4/4,3
37650739,In Another Lifetime-012-Tinlicker feat Hero Baldwin-Rebirth,112.06,123.96,4/4,4
37650739,In Another Lifetime-012-Tinlicker feat Hero Baldwin-Rebirth,133.358,123.96,4/4,4
37650739,In Another Lifetime-012-Tinlicker feat Hero Baldwin-Rebirth,155.14,123.96,4/4,1
37650739,In Another Lifetime-012-Tinlicker feat Hero Baldwin-Rebirth,175.954,123.96,4/4,4
